driver_id,seed,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_ablation,use_urban_context
236,43,0,51,51,41,33,31.141465445462114,26.111252352904135,25.162981785132157,11.356021723190874,no_clutter,True
236,43,1,51,51,41,33,30.78472106577852,25.75450797322054,24.806237405448563,11.888476021226092,no_clutter,True
236,44,0,51,51,41,33,31.141465445462114,26.111252352904135,25.162981785132157,11.356021723190874,no_clutter,True
236,44,1,51,51,41,33,30.78472106577852,25.75450797322054,24.806237405448563,11.888476021226092,no_clutter,True
237,42,0,0,0,0,0,-14.35058284762698,-14.35058284762698,-14.35058284762698,21.418780369592504,no_clutter,True
237,42,1,0,0,0,0,-15.947835137385514,-15.947835137385514,-15.947835137385514,23.802739011023153,no_clutter,True
237,43,0,0,0,0,0,-14.35058284762698,-14.35058284762698,-14.35058284762698,21.418780369592504,no_clutter,True
237,43,1,0,0,0,0,-15.947835137385514,-15.947835137385514,-15.947835137385514,23.802739011023153,no_clutter,True
237,44,0,0,0,0,0,-14.35058284762698,-14.35058284762698,-14.35058284762698,21.418780369592504,no_clutter,True
237,44,1,0,0,0,0,-15.947835137385514,-15.947835137385514,-15.947835137385514,23.802739011023153,no_clutter,True
238,42,0,0,0,0,0,-8.11923397169026,-8.11923397169026,-8.11923397169026,12.118259659239193,no_clutter,True
238,42,1,0,0,0,0,-7.509075770191507,-7.509075770191507,-7.509075770191507,11.207575776405234,no_clutter,True
238,43,0,0,0,0,0,-8.11923397169026,-8.11923397169026,-8.11923397169026,12.118259659239193,no_clutter,True
238,43,1,0,0,0,0,-7.509075770191507,-7.509075770191507,-7.509075770191507,11.207575776405234,no_clutter,True
238,44,0,0,0,0,0,-8.11923397169026,-8.11923397169026,-8.11923397169026,12.118259659239193,no_clutter,True
238,44,1,0,0,0,0,-7.509075770191507,-7.509075770191507,-7.509075770191507,11.207575776405234,no_clutter,True
239,42,0,1,1,0,0,-6.885720233139051,-6.885720233139051,-6.885720233139051,10.277194377819479,no_clutter,True
239,43,0,1,1,0,0,-6.885720233139051,-6.885720233139051,-6.885720233139051,10.277194377819479,no_clutter,True
239,44,0,1,1,0,0,-6.885720233139051,-6.885720233139051,-6.885720233139051,10.277194377819479,no_clutter,True
240,42,0,27,27,11,5,21.85,17.15304230088919,17.169292860714272,8.059701492537313,no_clutter,True
240,42,1,27,27,10,4,20.068401332223146,15.626421066374999,16.637694192937417,8.853132339965452,no_clutter,True
240,43,0,27,27,11,5,21.85,17.15304230088919,17.169292860714272,8.059701492537313,no_clutter,True
240,43,1,27,27,10,4,20.068401332223146,15.626421066374999,16.637694192937417,8.853132339965452,no_clutter,True
240,44,0,27,27,11,5,21.85,17.15304230088919,17.169292860714272,8.059701492537313,no_clutter,True
240,44,1,27,27,10,4,20.068401332223146,15.626421066374999,16.637694192937417,8.853132339965452,no_clutter,True
241,42,0,0,0,0,0,-7.694587843463782,-7.694587843463782,-7.694587843463782,11.48445946785639,no_clutter,True
241,42,1,0,0,0,0,-8.105245628642798,-8.105245628642798,-8.105245628642798,12.097381535287758,no_clutter,True
241,43,0,0,0,0,0,-7.694587843463782,-7.694587843463782,-7.694587843463782,11.48445946785639,no_clutter,True
241,43,1,0,0,0,0,-8.105245628642798,-8.105245628642798,-8.105245628642798,12.097381535287758,no_clutter,True
241,44,0,0,0,0,0,-7.694587843463782,-7.694587843463782,-7.694587843463782,11.48445946785639,no_clutter,True
241,44,1,0,0,0,0,-8.105245628642798,-8.105245628642798,-8.105245628642798,12.097381535287758,no_clutter,True
242,42,0,19,19,8,5,45.10857618651124,38.16715884213734,39.46492736075939,8.046901214162329,no_clutter,True
242,43,0,19,19,8,5,45.10857618651124,38.16715884213734,39.46492736075939,8.046901214162329,no_clutter,True
242,44,0,19,19,8,5,45.10857618651124,38.16715884213734,39.46492736075939,8.046901214162329,no_clutter,True
243,42,0,6,6,5,3,27.45820149875104,22.952765465283893,26.835146616322486,9.390744031714865,no_clutter,True
243,43,0,6,6,5,3,27.45820149875104,22.952765465283893,26.835146616322486,9.390744031714865,no_clutter,True
243,44,0,6,6,5,3,27.45820149875104,22.952765465283893,26.835146616322486,9.390744031714865,no_clutter,True
244,42,0,33,33,30,16,17.996502914238135,15.791365241349697,12.7926145641475,12.318652366808756,no_clutter,True
244,42,1,29,29,24,11,19.410324729392173,14.016477061135147,15.806653807930322,13.566679508369893,no_clutter,True
244,43,0,33,33,30,16,17.996502914238135,15.791365241349697,12.7926145641475,12.318652366808756,no_clutter,True
244,43,1,29,29,24,11,19.410324729392173,14.016477061135147,15.806653807930322,13.566679508369893,no_clutter,True
244,44,0,33,33,30,16,17.996502914238135,15.791365241349697,12.7926145641475,12.318652366808756,no_clutter,True
244,44,1,29,29,24,11,19.410324729392173,14.016477061135147,15.806653807930322,13.566679508369893,no_clutter,True
245,42,0,13,13,6,4,13.639841798501248,8.709515072752712,7.290834535329214,10.985310748505599,no_clutter,True
245,42,1,5,5,1,0,2.3326394671107398,-0.1947247113232926,0.7123151656768894,13.309493332670536,no_clutter,True
245,43,0,13,13,6,4,13.639841798501248,8.709515072752712,7.290834535329214,10.985310748505599,no_clutter,True
245,43,1,5,5,1,0,2.3326394671107398,-0.1947247113232926,0.7123151656768894,13.309493332670536,no_clutter,True
245,44,0,13,13,6,4,13.639841798501248,8.709515072752712,7.290834535329214,10.985310748505599,no_clutter,True
245,44,1,5,5,1,0,2.3326394671107398,-0.1947247113232926,0.7123151656768894,13.309493332670536,no_clutter,True
246,42,0,33,33,18,10,10.41502914238135,8.77404493033217,5.620202154605386,10.574583369580075,no_clutter,True
246,43,0,33,33,18,10,10.41502914238135,8.77404493033217,5.620202154605386,10.574583369580075,no_clutter,True
246,44,0,33,33,18,10,10.41502914238135,8.77404493033217,5.620202154605386,10.574583369580075,no_clutter,True
247,42,0,28,28,10,2,6.380766028309742,2.5671358584689976,4.1531301791613,18.834677569686953,no_clutter,True
247,43,0,28,28,10,2,6.380766028309742,2.5671358584689976,4.1531301791613,18.834677569686953,no_clutter,True
247,44,0,28,28,10,2,6.380766028309742,2.5671358584689976,4.1531301791613,18.834677569686953,no_clutter,True
248,42,0,11,11,4,1,-7.648209825145713,-8.529244837871389,-8.23282229733402,17.758522127083154,no_clutter,True
248,43,0,11,11,4,1,-7.648209825145713,-8.529244837871389,-8.23282229733402,17.758522127083154,no_clutter,True
248,44,0,11,11,4,1,-7.648209825145713,-8.529244837871389,-8.23282229733402,17.758522127083154,no_clutter,True
249,42,0,5,5,10,7,7.185095753538716,4.6410994996757555,3.0755506246210924,14.275976487255647,no_clutter,True
249,42,1,15,15,17,12,15.310699417152371,12.262384275008966,11.84463090061076,14.0885083326084,no_clutter,True
249,43,0,5,5,10,7,7.185095753538716,4.6410994996757555,3.0755506246210924,14.275976487255647,no_clutter,True
249,43,1,15,15,17,12,15.310699417152371,12.262384275008966,11.84463090061076,14.0885083326084,no_clutter,True
249,44,0,5,5,10,7,7.185095753538716,4.6410994996757555,3.0755506246210924,14.275976487255647,no_clutter,True
249,44,1,15,15,17,12,15.310699417152371,12.262384275008966,11.84463090061076,14.0885083326084,no_clutter,True
250,42,0,22,22,20,3,21.82685262281432,14.610092844955872,15.416842106582806,11.079324443560715,no_clutter,True
250,43,0,22,22,20,3,21.82685262281432,14.610092844955872,15.416842106582806,11.079324443560715,no_clutter,True
250,44,0,22,22,20,3,21.82685262281432,14.610092844955872,15.416842106582806,11.079324443560715,no_clutter,True
251,42,0,29,29,4,4,0.7602414654454615,-0.32702728959802396,-3.2822720074808003,7.820535126200803,no_clutter,True
251,42,1,29,29,3,3,-2.271357202331391,-2.683857202331391,-3.8138706752576526,8.613965973628941,no_clutter,True
251,43,0,29,29,4,4,0.7602414654454615,-0.32702728959802396,-3.2822720074808003,7.820535126200803,no_clutter,True
251,43,1,29,29,3,3,-2.271357202331391,-2.683857202331391,-3.8138706752576526,8.613965973628941,no_clutter,True
251,44,0,29,29,4,4,0.7602414654454615,-0.32702728959802396,-3.2822720074808003,7.820535126200803,no_clutter,True
251,44,1,29,29,3,3,-2.271357202331391,-2.683857202331391,-3.8138706752576526,8.613965973628941,no_clutter,True
252,42,0,25,25,11,7,13.136303080766028,10.45174612989729,8.567510619299545,10.990592416767122,no_clutter,True
252,42,1,30,30,17,10,8.430058284762698,5.764755602671538,5.027568176563885,10.17901748542881,no_clutter,True
252,43,0,25,25,11,7,13.136303080766028,10.45174612989729,8.567510619299545,10.990592416767122,no_clutter,True
252,43,1,30,30,17,10,8.430058284762698,5.764755602671538,5.027568176563885,10.17901748542881,no_clutter,True
252,44,0,25,25,11,7,13.136303080766028,10.45174612989729,8.567510619299545,10.990592416767122,no_clutter,True
252,44,1,30,30,17,10,8.430058284762698,5.764755602671538,5.027568176563885,10.17901748542881,no_clutter,True
253,42,0,28,28,0,0,-11.2529975020816,-11.2529975020816,-11.2529975020816,16.795518659823284,no_clutter,True
253,42,1,30,30,7,4,10.251790174854287,6.540473747743123,5.565332989830312,17.907775858426437,no_clutter,True
