policy,seed,requested_drivers,launched_drivers,drivers_skipped_no_route,route_coverage_rate,eligible_riders,served_riders,total_profit,profit_per_driver,service_rate,mean_wait_min,mean_walk_min,mean_observability,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
feasible_count_baseline,44,500,500,0,1.0,2756427,960,5979.91740216486,11.95983480432972,0.00034827695418743177,2.5664236111111136,3.966113312731146,0.6152124922029457,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
feasible_count_baseline,45,500,500,0,1.0,2756427,938,5614.817402164862,11.229634804329724,0.00034029560732063644,2.565582800284294,3.966113312731146,0.6152124922029457,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
feasible_count_baseline,46,500,500,0,1.0,2756427,948,5851.667402164861,11.703334804329723,0.00034392349226008886,2.5655590717299592,3.966113312731146,0.6152124922029457,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,500,500,0,1.0,2756427,937,6027.373064113237,12.054746128226475,0.0003399328188266912,2.559320526503026,2.9874043008943176,0.5958165541353306,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,500,500,0,1.0,2756427,928,5733.023064113239,11.466046128226479,0.000336667722381184,2.5783943965517246,2.9874043008943176,0.5958165541353306,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,500,500,0,1.0,2756427,930,5950.873064113238,11.901746128226476,0.0003373932993690745,2.5539784946236557,2.9874043008943176,0.5958165541353306,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,45,500,500,0,1.0,2756427,941,5964.023064113238,11.928046128226477,0.0003413839728024722,2.5594580233793858,2.9874043008943176,0.5958165541353306,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,46,500,500,0,1.0,2756427,928,5848.12306411324,11.696246128226479,0.000336667722381184,2.558441091954024,2.9874043008943176,0.5958165541353306,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
rendezvous_only,42,500,500,0,1.0,2756427,946,5917.297751873441,11.83459550374688,0.0003431979152721984,2.6027660324171977,3.986112000371462,0.6203125844517631,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
rendezvous_only,43,500,500,0,1.0,2756427,952,5980.297751873438,11.960595503746875,0.00034537464623586985,2.6414215686274543,3.986112000371462,0.6203125844517631,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
