policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
walk_aware_rendezvous,42,2015-04-29T23:33:00,455,0,3,3,40.25,34.929308909242295,30.146329918524483,3.1944444444444446,3.1886526604785423,0.8230511912310327,408,1730962;2758152;2034254,1730962;2758152;2034254,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T01:32:00,58,1,2,2,15.75,2.2048293089092414,-2.5823192781000603,4.191666666666666,4.787148587009302,0.6836949485515211,151,796438;2469230,796438;2469230,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T06:57:00,211,0,2,3,14.5,1.677685262281429,4.398677786480288,1.5166666666666666,2.3526716505340945,0.5834222468673458,279,1188586;1688009;2630120,1188586;1688009,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T11:05:00,206,0,2,3,35.0,28.954329725228973,42.83785009170202,1.5083333333333333,2.244319755684634,0.44169481288460033,332,869807;2219246;2218087,869807;2219246,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T11:54:00,114,0,3,3,25.25,15.68226477935054,11.31777671946664,1.988888888888889,2.909658706589267,0.491700291606251,390,393662;66580;116863,393662;66580;116863,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T12:10:00,369,0,1,1,13.0,-0.5982098251457124,-2.4853099301974666,3.2333333333333334,3.7742002101035066,0.5457417584813691,377,1832360,1832360,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T13:03:00,93,1,3,3,43.5,38.6654454621149,36.7732407683398,1.372222222222222,1.2614697958500691,0.3590216145273179,310,2494579;455405;1293095,2494579;455405;1293095,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T13:06:00,473,0,2,3,28.0,22.203788509575354,34.05707184883031,4.091666666666667,2.7644777738300292,0.7119078322328057,331,242500;2059350;1797665,2059350;1797665,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T13:25:00,376,0,0,0,0.0,-11.101457119067446,-11.101457119067446,0.0,0.0,0.0,343,,,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T13:54:00,396,0,2,3,35.5,26.762739383846792,33.87052042001817,0.25,4.428145975885752,0.739573633932864,365,1845157;1320999;323519,1845157;1320999,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T15:14:00,338,0,2,2,15.0,7.028351373855119,4.97544675149594,2.2916666666666665,2.05290462235918,0.3665999720670905,330,1265428;257464,1265428;257464,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T16:32:00,80,0,2,3,26.5,21.23671940049958,22.82851986801898,2.408333333333333,2.772133021653735,0.6412498785720219,275,1133418;1659175;50453,1133418;1659175,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T17:05:00,281,0,1,3,16.5,6.770066611157368,34.00285731989944,4.716666666666667,4.01147286083862,0.46295002188535966,276,1904231;1145753;447190,1145753,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T17:49:00,27,1,3,3,31.75,18.816444629475434,14.095678413843657,3.6722222222222225,3.14717747708785,0.48400553730889073,419,185540;1560195;2408254,185540;1560195;2408254,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T18:09:00,243,0,2,2,22.5,16.20820149875104,13.207866737794085,2.1,3.0003347609569557,0.7706088270740878,497,2170633;1577945,2170633;1577945,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T18:19:00,453,1,1,1,11.0,2.0989175686927553,1.4186291694989066,4.866666666666666,1.3605767983876973,0.5546984194122231,500,1822685,1822685,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T19:20:00,195,0,3,3,41.75,30.284096586178187,26.731983844564418,2.288888888888889,2.3680751610758466,0.35627297110751205,530,1401610;2149135;764117,1401610;2149135;764117,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T19:47:00,384,0,1,3,4.25,-3.1529142381348887,2.1786598305501865,1.2166666666666666,1.6122839542099505,0.622043739916294,540,2384454;2469811;2470899,2469811,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T23:10:00,259,0,2,3,29.25,21.890424646128224,33.12725393616024,1.4666666666666666,2.1754471399786586,0.7956088270740879,455,926803;1622360;1668163,1622360;1668163,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,2015-04-30T23:11:00,263,0,0,0,0.0,-10.133139050791009,-10.133139050791009,0.0,0.0,0.0,441,,,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-01T00:19:00,7,1,2,3,25.5,20.02352206494588,31.911868811173647,2.441666666666667,2.2411021691814885,0.602331747757532,259,1997412;2163853;91947,2163853;91947,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-01T00:33:00,245,0,3,3,38.75,31.389841798501248,26.34035121099321,3.522222222222222,3.3663270583386917,0.5644750348491634,225,2186096;409296;2381320,2186096;409296;2381320,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-01T07:27:00,167,0,2,3,18.75,13.397335553705245,17.283230032401292,3.0166666666666666,4.909403680869305,0.7241896537323506,412,2339269;1368088;1022328,1368088;1022328,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-01T08:38:00,40,0,2,2,19.0,7.3058701082431305,3.2086121575419053,1.45,4.097257950701225,0.7162132567886138,471,306182;2013289,306182;2013289,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-01T13:40:00,339,0,2,3,31.0,25.707618651124065,30.047231708218064,4.15,2.7735912952706685,0.6122855247685538,379,2232592;1369594;2472639,2232592;1369594,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-01T13:40:00,446,1,3,3,37.0,25.09691923397169,22.143982666930185,3.0888888888888886,1.9686243780276678,0.40426517547165064,366,1326456;393886;302785,1326456;393886;302785,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-01T14:02:00,380,0,3,3,33.75,22.575936719400495,18.312408009306502,3.6833333333333336,2.8423524733959957,0.3607793385867078,370,993132;456627;2146223,993132;456627;2146223,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-01T15:19:00,314,0,3,3,35.25,24.294629475437134,19.399870842223837,1.4055555555555557,3.2631724221421976,0.5018171439385425,365,1583149;2218705;884922,1583149;2218705;884922,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-01T17:16:00,404,0,3,3,62.75,55.10220649458785,53.39928268087925,2.4222222222222225,1.1352825424723967,0.6454158789701762,338,1090761;2182858;1371211,1090761;2182858;1371211,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-01T20:25:00,129,0,3,3,32.25,25.228809325562032,19.83083539733863,1.6777777777777778,3.598649285482266,0.6580623279549682,528,2473232;147957;1920841,2473232;147957;1920841,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-01T21:32:00,244,0,3,3,39.75,31.496502914238135,25.86762917115604,0.6444444444444445,3.75258249538806,0.6433622686444196,521,1580369;709755;2362221,1580369;709755;2362221,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
