policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,run_id
corridor_only,43,2015-04-20T20:09:00,38,0,0,1,0.0,-7.255661948376353,2.0,0.0,6.0,0.0,44,78650,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,43,2015-04-20T23:42:00,109,1,0,3,0.0,-13.33788509575354,6.0,0.0,5.412713749682903,0.23857133492517033,16,165948;135322;44114,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,43,2015-04-21T01:45:00,146,0,0,2,0.0,-12.471565362198168,2.0,0.0,6.0,0.0,7,66572;115322,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,43,2015-04-21T07:22:00,107,0,0,0,0.0,-11.886885928393006,0.0,0.0,0.0,0.0,36,,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,43,2015-04-21T09:56:00,88,0,0,0,0.0,-6.453913405495421,0.0,0.0,0.0,0.0,28,,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,43,2015-04-21T10:11:00,185,1,0,3,0.0,-7.067985012489593,16.0,0.0,4.7727072174932275,0.10790704340518936,37,121037;198865;153933,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,43,2015-04-21T19:26:00,151,1,0,3,0.0,-9.61810990840966,6.0,0.0,6.0,0.0,51,165954;20404;78709,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,43,2015-04-21T19:41:00,78,1,0,3,0.0,-9.357785179017487,8.0,0.0,5.416332643069093,0.15579716806253854,54,150990;207418;256688,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,43,2015-04-21T22:14:00,103,0,0,3,0.0,-7.610283097418819,8.0,0.0,4.3346747623448545,0.12827456523079128,61,42817;53150;56118,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,43,2015-04-22T00:43:00,162,1,0,1,0.0,-7.536136552872607,1.0,0.0,6.0,0.0,18,145901,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
