driver_id,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,route_idx,route_cost,route_distance_miles,route_duration_min,rider_id,anchor_cell,anchor_idx,pickup_h3,dropoff_h3,fare_share,passenger_count,walk_m,walk_min,anchor_progress,travel_fraction,ambiguity_count,local_straightness,turn_severity,anchor_clutter,urban_clutter_index,sidewalk_access_score,building_height_proxy,context_is_imputed,observability_score,success_probability
98,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,12.027310574521234,17.951209812718258,31.41,130165,892a100c55bffff,46,892a100c55bffff,892a100e843ffff,8.25,3,163.90289000247182,2.1853718666996245,0.46464646464646464,0.19726738820409884,4,0.6805210203622181,0.6496974390779201,1.6221799227185068,0.6414857692307693,0.9999998025562188,0.3185307692307693,False,0.3924673891528135,0.7981168472882033
98,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,12.027310574521234,17.951209812718258,31.41,130165,892a100c427ffff,47,892a100c55bffff,892a100e843ffff,8.25,3,195.27202196194617,2.6036269594926154,0.47474747474747475,0.18766692632847876,4,0.6805265563263209,0.3233428373941431,1.711428769013773,0.69,0.9999998024147984,0.4,False,0.4878643092556752,0.8219660773139188
98,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,12.027310574521234,17.951209812718258,31.41,132176,892a100da13ffff,2,892a100dac7ffff,892a100d8cfffff,4.0,1,371.33335006695125,4.951111334226017,0.020202020202020204,0.06103797022346111,3,0.680548347321167,0.6496340590179456,1.7880026714404347,0.7215304304475518,0.9999998025036198,0.2043726584215767,False,0.4129553944997758,0.8032388486249439
98,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,12.027310574521234,17.951209812718258,31.41,327074,892a100de67ffff,8,892a100da93ffff,892a100d213ffff,11.75,1,397.1410137020251,5.295213516027001,0.08080808080808081,0.07773218581914935,1,0.7429964724589796,0.3233937935006588,1.5775874313954141,0.7140763905294545,0.9065980884618325,0.18307540151272728,False,0.7291730928251984,0.8822932732062996
99,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,9.718942547876772,14.505884399816075,31.936666666666667,37601,892a100d3b7ffff,0,892a100d3a7ffff,892a100d15bffff,2.5,1,340.62841659309214,4.541712221241228,0.0,0.07204995541495154,2,0.4868150363770804,0.0,1.5577008458593182,0.7443457874122685,0.9999960664276196,0.2695593926064815,False,0.62555823496351,0.8563895587408774
99,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,9.718942547876772,14.505884399816075,31.936666666666667,86500,892a100d3a3ffff,1,892a100d3a7ffff,892a100c6bbffff,7.75,1,402.8923113079421,5.3718974841058955,0.01282051282051282,0.2587269847144877,2,0.5587075628660771,0.676554816088567,1.4926541321396307,0.7174287305158771,0.9996727848274997,0.19265351575964915,False,0.4390108282644213,0.8097527070661052
99,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,9.718942547876772,14.505884399816075,31.936666666666667,139273,892a100d3b7ffff,0,892a100d3b7ffff,892a100d21bffff,11.25,5,128.01732593503468,1.7068976791337958,0.0,0.10843983546877535,3,0.4868150363770804,0.0,1.5577008458593182,0.7443457874122685,0.9999960664276196,0.2695593926064815,False,0.5755582349635102,0.8438895587408775
99,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,9.718942547876772,14.505884399816075,31.936666666666667,139273,892a100d3a3ffff,1,892a100d3b7ffff,892a100d21bffff,11.25,5,232.49560496473165,3.0999413995297553,0.01282051282051282,0.09913019272600108,3,0.5587075628660771,0.676554816088567,1.4926541321396307,0.7174287305158771,0.9996727848274997,0.19265351575964915,False,0.38901082826442124,0.7972527070661053
99,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,9.718942547876772,14.505884399816075,31.936666666666667,139273,892a100d3b3ffff,2,892a100d3b7ffff,892a100d21bffff,11.25,5,303.06952364225106,4.04092698189668,0.02564102564102564,0.08887732247762078,3,0.4894808667296251,7.374720151018563e-06,1.2979676437142857,0.43617295133333334,1.0,0.12239890857142857,False,0.5849273882921263,0.8462318470730316
99,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,9.718942547876772,14.505884399816075,31.936666666666667,150116,892a100d3b7ffff,0,892a100d3b7ffff,892a100d487ffff,6.75,1,80.84132426431897,1.0778843235242528,0.0,0.2625869593927661,3,0.4868150363770804,0.0,1.5577008458593182,0.7443457874122685,0.9999960664276196,0.2695593926064815,False,0.5755582349635102,0.8438895587408775
