driver_id,seed,time_slice,hour_start,hour_end,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_profile,observability_ablation,use_urban_context
10,42,all_day,,,1,112,112,14,14,17.934929225645295,15.176613061224828,11.721252359489561,8.67921011097717,calibrated,full,True
10,43,all_day,,,0,111,111,19,19,18.466527893422146,15.70821172900168,12.252851027266415,7.885779263549033,calibrated,full,True
10,43,all_day,,,1,112,112,14,14,17.934929225645295,15.176613061224828,11.721252359489561,8.67921011097717,calibrated,full,True
10,44,all_day,,,0,111,111,19,19,18.466527893422146,15.70821172900168,12.252851027266415,7.885779263549033,calibrated,full,True
10,44,all_day,,,1,112,112,14,14,17.934929225645295,15.176613061224828,11.721252359489561,8.67921011097717,calibrated,full,True
10,45,all_day,,,0,111,111,19,19,18.466527893422146,15.70821172900168,12.252851027266415,7.885779263549033,calibrated,full,True
10,45,all_day,,,1,112,112,14,14,17.934929225645295,15.176613061224828,11.721252359489561,8.67921011097717,calibrated,full,True
10,46,all_day,,,0,111,111,19,19,18.466527893422146,15.70821172900168,12.252851027266415,7.885779263549033,calibrated,full,True
10,46,all_day,,,1,112,112,14,14,17.934929225645295,15.176613061224828,11.721252359489561,8.67921011097717,calibrated,full,True
11,42,all_day,,,0,24,24,4,2,-4.2139050791007495,-4.862348094109618,-5.926694833639923,17.85657474492649,calibrated,full,True
11,42,all_day,,,1,25,25,6,5,3.39987510407993,1.6061067473854127,-0.22405551555676517,19.179290889432938,calibrated,full,True
11,43,all_day,,,0,24,24,4,2,-4.2139050791007495,-4.862348094109618,-5.926694833639923,17.85657474492649,calibrated,full,True
11,43,all_day,,,1,25,25,6,5,3.39987510407993,1.6061067473854127,-0.22405551555676517,19.179290889432938,calibrated,full,True
11,44,all_day,,,0,24,24,4,2,-4.2139050791007495,-4.862348094109618,-5.926694833639923,17.85657474492649,calibrated,full,True
11,44,all_day,,,1,25,25,6,5,3.39987510407993,1.6061067473854127,-0.22405551555676517,19.179290889432938,calibrated,full,True
11,45,all_day,,,0,24,24,4,2,-4.2139050791007495,-4.862348094109618,-5.926694833639923,17.85657474492649,calibrated,full,True
11,45,all_day,,,1,25,25,6,5,3.39987510407993,1.6061067473854127,-0.22405551555676517,19.179290889432938,calibrated,full,True
