driver_id,seed,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,policy,route_idx,score,route_distance_miles,route_cost,expected_value,nominal_revenue,realized_revenue,actual_profit,successful_riders,attempted_riders,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,mean_observability,mean_walk_min,nominal_realized_gap
2,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,ml_meeting_point_comparator,0,16.525043498056707,8.676973169125233,5.813572023313907,16.525043498056707,25.0,10.0,4.186427976686093,1,2,39,39,18,4,0.8456088270740879,2.6453497267651467,15.0
3,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,corridor_only,0,8.0,10.766401133383871,7.213488759367194,-1.6713538548659335,44.0,7.0,-0.21348875936719391,1,3,8,8,3,1,0.2014446314882454,5.216015767964295,37.0
3,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,time_only_baseline,0,-7.213488759367194,10.766401133383871,7.213488759367194,11.536511240632805,18.75,18.75,11.536511240632805,2,2,8,8,3,1,0.6111817679744598,4.3715632874385495,0.0
3,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,feasible_count_baseline,0,3.0,10.766401133383871,7.213488759367194,11.536511240632805,18.75,18.75,11.536511240632805,2,2,8,8,3,1,0.6111817679744598,4.3715632874385495,0.0
3,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,walk_aware_rendezvous,0,7.570962695586847,10.766401133383871,7.213488759367194,7.570962695586847,18.75,11.75,4.536511240632806,1,2,8,8,3,1,0.6459301702269357,3.9655485450459595,7.0
3,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_only,0,11.536511240632805,10.766401133383871,7.213488759367194,11.536511240632805,18.75,18.75,11.536511240632805,2,2,8,8,3,1,0.6111817679744598,4.3715632874385495,0.0
3,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_observable,0,8.022520441283003,10.766401133383871,7.213488759367194,8.022520441283003,18.75,11.75,4.536511240632806,1,2,8,8,3,1,0.6459301702269357,3.9655485450459595,7.0
3,42,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,ml_meeting_point_comparator,0,8.908231828971196,10.766401133383871,7.213488759367194,8.908231828971196,18.75,0.0,-7.213488759367194,0,2,8,8,3,1,0.6111817679744598,4.3715632874385495,18.75
3,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,corridor_only,0,8.0,10.766401133383871,7.213488759367194,-1.6713538548659335,44.0,0.0,-7.213488759367194,0,3,8,8,3,1,0.2014446314882454,5.216015767964295,44.0
3,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,time_only_baseline,0,-7.213488759367194,10.766401133383871,7.213488759367194,11.536511240632805,18.75,18.75,11.536511240632805,2,2,8,8,3,1,0.6111817679744598,4.3715632874385495,0.0
3,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,feasible_count_baseline,0,3.0,10.766401133383871,7.213488759367194,11.536511240632805,18.75,18.75,11.536511240632805,2,2,8,8,3,1,0.6111817679744598,4.3715632874385495,0.0
3,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,walk_aware_rendezvous,0,7.570962695586847,10.766401133383871,7.213488759367194,7.570962695586847,18.75,11.75,4.536511240632806,1,2,8,8,3,1,0.6459301702269357,3.9655485450459595,7.0
3,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_only,0,11.536511240632805,10.766401133383871,7.213488759367194,11.536511240632805,18.75,11.75,4.536511240632806,1,2,8,8,3,1,0.6111817679744598,4.3715632874385495,7.0
3,43,yellow,sparse_high_occlusion,evening_peak,16,19,25,0.4,1,calibrated,full,True,0.5,rendezvous_observable,0,8.022520441283003,10.766401133383871,7.213488759367194,8.022520441283003,18.75,18.75,11.536511240632805,2,2,8,8,3,1,0.6459301702269357,3.9655485450459595,0.0
