driver_id,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,run_id,route_idx,route_cost,route_distance_miles,route_duration_min,rider_id,anchor_cell,anchor_idx,pickup_h3,dropoff_h3,fare_share,passenger_count,walk_m,walk_min,anchor_progress,travel_fraction,ambiguity_count,local_straightness,turn_severity,anchor_clutter,urban_clutter_index,sidewalk_access_score,building_height_proxy,context_is_imputed,observability_score,success_probability
6,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,1,12.328975853455457,18.40145649769471,31.383333333333333,3014,892a100e25bffff,60,892a100e253ffff,892a100d22bffff,15.25,1,301.6046226415909,4.021394968554545,0.5825242718446602,0.39172326496442966,2,0.9029193278930424,8.109739244825202e-06,1.6982532760621214,0.5381383333333334,0.6729398191759738,0.30896666666666667,False,0.7047034588484917,0.8318813835393967
6,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,1,12.328975853455457,18.40145649769471,31.383333333333333,29272,892a100f52fffff,61,892a100f52bffff,892a100d47bffff,10.0,1,324.16878985031315,4.322250531337509,0.5922330097087378,0.3414213353417187,2,0.8714970233249455,0.32640858378093407,1.5113372919662988,0.5305362499999999,0.8271078866051298,0.258675,False,0.6060156739980749,0.7924062695992299
6,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,1,12.328975853455457,18.40145649769471,31.383333333333333,29272,892a100f193ffff,62,892a100f52bffff,892a100d47bffff,10.0,1,322.8571902231479,4.304762536308639,0.6019417475728155,0.33001560369937855,2,0.907657122160644,1.551985506612002e-05,1.375657032944235,0.6278854927490789,0.9849220208749567,0.10824426499736842,False,0.715714004775511,0.8362856019102043
7,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,6.054787676935887,9.03699653274013,18.075,5774,892a100d04bffff,42,892a100d2b3ffff,892a100d20fffff,4.25,1,377.10339349063815,5.028045246541842,0.8571428571428571,0.17225326808611974,3,0.6804351802767177,0.6497180183289012,1.8114285714285714,0.79,1.0,0.4,False,0.41230984193878706,0.7149239367755148
7,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,6.054787676935887,9.03699653274013,18.075,5774,892a100d287ffff,44,892a100d2b3ffff,892a100d20fffff,4.25,1,369.73439771468884,4.929791969529185,0.8979591836734694,0.12683747137982715,3,0.6756449130859994,7.378666620165101e-06,1.7655735756318205,0.7711184499010031,0.999999802699187,0.34605271400286614,False,0.6074444978826656,0.7929777991530662
7,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,6.054787676935887,9.03699653274013,18.075,5774,892a100d2bbffff,45,892a100d2b3ffff,892a100d20fffff,4.25,1,356.0948587315573,4.7479314497540965,0.9183673469387755,0.10304872857377734,3,1.0,7.3774272414716e-06,1.5892818349906759,0.7573512625593717,0.9999998026535124,0.306717893026776,False,0.6772392818061911,0.8208957127224764
7,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,6.054787676935887,9.03699653274013,18.075,25153,892a100d233ffff,47,892a100d237ffff,892a1072c17ffff,4.5,2,391.8804107764444,5.225072143685925,0.9591836734693877,0.05427655522472874,2,0.6756679629844498,7.374948017810665e-06,1.8238769244050985,0.79,0.9875516470234729,0.4,False,0.6559559965366348,0.8123823986146539
8,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,4.909575353871774,7.327724408763841,17.263333333333332,4993,892a100d607ffff,2,892a100d603ffff,892a100892fffff,3.0,1,305.69669918105626,4.07595598908075,0.046511627906976744,0.06881471434466835,2,0.4908051901607702,0.6737168589412929,1.9542857142857144,0.79,1.0,0.4,False,0.4137442395373871,0.7154976958149548
8,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,4.909575353871774,7.327724408763841,17.263333333333332,6780,892a100d63bffff,0,892a100d623ffff,892a100d6b3ffff,5.25,1,341.34182195586004,4.551224292744801,0.0,0.1148084440354174,2,0.49080211318484307,0.0,1.6685716258502248,0.79,0.9999998027212039,0.4,False,0.6231068839058427,0.799242753562337
8,yellow,sparse_high_occlusion,evening_peak,all,10,0.4,1,calibrated,full,True,0.5,driver-yellow-sparse-high-occlusion-sparse-high-occlusion-evening-peak-d10-canonical-20260410T053243Z-4957538a,0,4.909575353871774,7.327724408763841,17.263333333333332,11433,892a100d63bffff,0,892a100d60fffff,892a1008923ffff,4.5,1,293.7811880304148,3.9170825070721973,0.0,0.10305157754130678,2,0.49080211318484307,0.0,1.6685716258502248,0.79,0.9999998027212039,0.4,False,0.6231068839058427,0.799242753562337
