policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
feasible_count_baseline,44,2015-04-20T08:26:00,32,0,1,2,3.75,-1.2203580349708583,4.0,1.4333333333333333,3.9887469985813224,0.6198477616724916,104,413108;441780,413108,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,44,2015-04-20T09:42:00,50,0,2,3,23.25,10.680058284762696,14.0,1.8416666666666668,4.4248407358709265,0.6108206612572693,114,17757;336566;535695,17757;535695,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,44,2015-04-20T10:25:00,208,0,0,0,0.0,-12.521523730224814,0.0,0.0,0.0,0.0,107,,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,44,2015-04-20T11:44:00,89,0,0,0,0.0,-11.622564529558703,0.0,0.0,0.0,0.0,95,,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,44,2015-04-20T11:50:00,48,0,1,1,3.0,-8.042672772689427,4.0,3.466666666666667,5.268685176565026,0.3504538502345399,87,167787,167787,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,44,2015-04-20T14:53:00,163,0,0,0,0.0,-7.915653621981684,0.0,0.0,0.0,0.0,94,,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,44,2015-04-20T20:09:00,38,0,0,0,0.0,-7.255661948376353,0.0,0.0,0.0,0.0,109,,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,44,2015-04-20T23:42:00,109,1,3,3,41.5,28.162114904246458,9.0,1.711111111111111,4.192238743355616,0.6791478945163655,58,633003;349363;165948,633003;349363;165948,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,44,2015-04-21T01:45:00,146,0,0,0,0.0,-12.471565362198168,0.0,0.0,0.0,0.0,18,,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,44,2015-04-21T07:22:00,107,0,0,0,0.0,-11.886885928393006,0.0,0.0,0.0,0.0,100,,,yellow,sparse_high_occlusion,all_day,,,25,0.4,1,calibrated,full,True,0.5
