driver_id,seed,time_slice,hour_start,hour_end,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_profile,observability_ablation,use_urban_context
159,43,all_day,,,0,3,3,1,1,7.099583680266444,5.176694418521477,5.056226488320127,10.672263163781427,calibrated,full,False
159,44,all_day,,,0,3,3,1,1,7.099583680266444,5.176694418521477,5.056226488320127,10.672263163781427,calibrated,full,False
160,42,all_day,,,0,1,1,3,0,4.165736885928391,0.5259143030480846,3.524801563416844,16.17054196130091,calibrated,full,False
160,42,all_day,,,1,1,1,3,0,6.282348043297251,2.6425254604169446,5.641412720785704,13.011420830899624,calibrated,full,False
160,43,all_day,,,0,1,1,3,0,4.165736885928391,0.5259143030480846,3.524801563416844,16.17054196130091,calibrated,full,False
160,43,all_day,,,1,1,1,3,0,6.282348043297251,2.6425254604169446,5.641412720785704,13.011420830899624,calibrated,full,False
160,44,all_day,,,0,1,1,3,0,4.165736885928391,0.5259143030480846,3.524801563416844,16.17054196130091,calibrated,full,False
160,44,all_day,,,1,1,1,3,0,6.282348043297251,2.6425254604169446,5.641412720785704,13.011420830899624,calibrated,full,False
161,42,all_day,,,0,42,42,31,5,25.900499583680265,21.39966915083931,21.188500702636397,7.984328979581692,calibrated,full,False
161,43,all_day,,,0,42,42,31,5,25.900499583680265,21.39966915083931,21.188500702636397,7.984328979581692,calibrated,full,False
161,44,all_day,,,0,42,42,31,5,25.900499583680265,21.39966915083931,21.188500702636397,7.984328979581692,calibrated,full,False
162,42,all_day,,,0,0,0,0,0,-7.339217318900916,-7.339217318900916,-7.339217318900916,10.954055699852113,calibrated,full,False
162,42,all_day,,,1,4,4,5,2,4.713863447127393,1.9883861899846327,0.1923556693526507,11.247965004287472,calibrated,full,False
162,43,all_day,,,0,0,0,0,0,-7.339217318900916,-7.339217318900916,-7.339217318900916,10.954055699852113,calibrated,full,False
162,43,all_day,,,1,4,4,5,2,4.713863447127393,1.9883861899846327,0.1923556693526507,11.247965004287472,calibrated,full,False
162,44,all_day,,,0,0,0,0,0,-7.339217318900916,-7.339217318900916,-7.339217318900916,10.954055699852113,calibrated,full,False
162,44,all_day,,,1,4,4,5,2,4.713863447127393,1.9883861899846327,0.1923556693526507,11.247965004287472,calibrated,full,False
163,42,all_day,,,0,0,0,0,0,-7.915653621981684,-7.915653621981684,-7.915653621981684,11.814408391017437,calibrated,full,False
163,42,all_day,,,1,0,0,0,0,-8.20653621981682,-8.20653621981682,-8.20653621981682,12.248561522114656,calibrated,full,False
163,43,all_day,,,0,0,0,0,0,-7.915653621981684,-7.915653621981684,-7.915653621981684,11.814408391017437,calibrated,full,False
163,43,all_day,,,1,0,0,0,0,-8.20653621981682,-8.20653621981682,-8.20653621981682,12.248561522114656,calibrated,full,False
163,44,all_day,,,0,0,0,0,0,-7.915653621981684,-7.915653621981684,-7.915653621981684,11.814408391017437,calibrated,full,False
163,44,all_day,,,1,0,0,0,0,-8.20653621981682,-8.20653621981682,-8.20653621981682,12.248561522114656,calibrated,full,False
164,42,all_day,,,0,22,22,15,3,19.790133222314736,14.827575156703993,16.64810261669897,7.775920563709347,calibrated,full,False
164,43,all_day,,,0,22,22,15,3,19.790133222314736,14.827575156703993,16.64810261669897,7.775920563709347,calibrated,full,False
164,44,all_day,,,0,22,22,15,3,19.790133222314736,14.827575156703993,16.64810261669897,7.775920563709347,calibrated,full,False
165,42,all_day,,,0,0,0,0,0,-9.861323896752708,-9.861323896752708,-9.861323896752708,14.718393875750309,calibrated,full,False
165,43,all_day,,,0,0,0,0,0,-9.861323896752708,-9.861323896752708,-9.861323896752708,14.718393875750309,calibrated,full,False
165,44,all_day,,,0,0,0,0,0,-9.861323896752708,-9.861323896752708,-9.861323896752708,14.718393875750309,calibrated,full,False
166,42,all_day,,,0,1,1,0,0,-11.664404662781019,-11.664404662781019,-11.664404662781019,17.409559198180624,calibrated,full,False
166,43,all_day,,,0,1,1,0,0,-11.664404662781019,-11.664404662781019,-11.664404662781019,17.409559198180624,calibrated,full,False
166,44,all_day,,,0,1,1,0,0,-11.664404662781019,-11.664404662781019,-11.664404662781019,17.409559198180624,calibrated,full,False
167,42,all_day,,,0,30,30,22,5,6.147335553705245,3.9772489082836113,2.6134015124258365,7.989051412380231,calibrated,full,False
167,42,all_day,,,1,32,32,21,5,5.615736885928393,3.445650240506759,2.0818028446489842,8.782482259808368,calibrated,full,False
167,43,all_day,,,0,30,30,22,5,6.147335553705245,3.9772489082836113,2.6134015124258365,7.989051412380231,calibrated,full,False
167,43,all_day,,,1,32,32,21,5,5.615736885928393,3.445650240506759,2.0818028446489842,8.782482259808368,calibrated,full,False
167,44,all_day,,,0,30,30,22,5,6.147335553705245,3.9772489082836113,2.6134015124258365,7.989051412380231,calibrated,full,False
167,44,all_day,,,1,32,32,21,5,5.615736885928393,3.445650240506759,2.0818028446489842,8.782482259808368,calibrated,full,False
168,42,all_day,,,0,24,24,7,1,16.456661115736885,10.702616014289589,10.686891976979588,10.885580424273304,calibrated,full,False
168,43,all_day,,,0,24,24,7,1,16.456661115736885,10.702616014289589,10.686891976979588,10.885580424273304,calibrated,full,False
168,44,all_day,,,0,24,24,7,1,16.456661115736885,10.702616014289589,10.686891976979588,10.885580424273304,calibrated,full,False
169,42,all_day,,,0,8,8,2,0,-2.4958368026644475,-3.3014563840428797,-3.8246056489198628,8.575875824872309,calibrated,full,False
169,42,all_day,,,1,21,21,12,2,7.845628642797668,5.036335185806817,2.895055605167294,9.185628891346763,calibrated,full,False
169,43,all_day,,,0,8,8,2,0,-2.4958368026644475,-3.3014563840428797,-3.8246056489198628,8.575875824872309,calibrated,full,False
169,43,all_day,,,1,21,21,12,2,7.845628642797668,5.036335185806817,2.895055605167294,9.185628891346763,calibrated,full,False
