policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
walk_aware_rendezvous,43,2015-04-26T22:34:00,169,1,0,0,0.0,-4.0138218151540395,-4.0138218151540395,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-26T23:48:00,126,0,0,0,0.0,-8.609575353871776,-8.609575353871776,0.0,0.0,0.0,7,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-27T06:21:00,56,1,0,0,0.0,-8.691007493755205,-8.691007493755205,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-27T18:12:00,46,0,0,0,0.0,-9.64346378018318,-9.64346378018318,0.0,0.0,0.0,3,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-27T19:27:00,79,0,0,0,0.0,-6.349250624479601,-6.349250624479601,0.0,0.0,0.0,6,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-27T20:50:00,5,0,0,0,0.0,-6.362156536219817,-6.362156536219817,0.0,0.0,0.0,2,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-28T00:37:00,188,1,0,0,0.0,-8.33405495420483,-8.33405495420483,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-28T08:49:00,183,0,1,1,11.25,3.7574937552039964,1.6752569079636137,2.85,4.1644736944807645,0.7539093554067353,8,22649,22649,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-28T18:06:00,93,0,0,0,0.0,-0.052289758534554545,-0.052289758534554545,0.0,0.0,0.0,6,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,2015-04-28T19:33:00,158,0,0,0,0.0,-6.377185678601166,-6.377185678601166,0.0,0.0,0.0,6,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
